gname	totalEvents	totalKilled	totalWounded	foreignTarget	ratioForeignTarget
Movement of the Third Reich	1	1	0	1	1
Mozambican Rebels	2	0	0	0	0
Mozambique Liberation Front (FRELIMO)	2	50	41	0	0
Mozambique National Resistance Movement (MNR)	199	2445	1012	31	0.155778894472362
Mozambique Rightest Rebels	1	4	3	0	0
Muhammed Shuqayr Group	1	0	0	0	0
Mujahedeen Army	2	3	1	1	0.5
Mujahedeen Brigades	1	0	0	1	1
Mujahedeen Corps in Iraq	2	2	5	2	1
Mujahedeen Group	1	8	0	1	1
Mujahedeen Shura Council	8	67	172	2	0.25
Mujahedin Kompak	1	0	0	0	0
Mujahedin-e Khalq (MEK)	112	516	449	22	0.196428571428571
Mujahideen Islam Pattani	4	8	6	0	0
Mujahideen Kashmir	6	3	43	0	0
Mujahideen Youth Movement (MYM)	23	57	37	4	0.173913043478261
Mujahidin Ambon	1	0	10	0	0
Munadil al-Jumalyi Brigade	1	0	0	0	0
Mungiki Sect	4	8	2	0	0
Musa Sudi Yalahow Militia	1	0	0	0	0
Muslim Brotherhood	89	278	61	7	0.0786516853932584
Muslim Commando (Iraqi revolutionary brothers)	1	0	0	1	1
Muslim Demonstrators	5	3	8	0	0
Muslim Extremists	30	84	24	1	0.0333333333333333
Muslim Fundamentalists	87	127	145	10	0.114942528735632
Muslim Guerrillas	13	73	52	2	0.153846153846154
Muslim Militants	294	695	1016	11	0.0374149659863946
Muslim Rebels	47	404	308	0	0
Muslim Separatists	160	176	377	3	0.01875
Muslim United Army (MUA)	1	0	7	1	1
Muslim United Liberation Tigers of Assam (MULTA)	1	0	0	0	0
Muslim Youth	3	1	0	0	0
Muslims	47	387	210	3	0.0638297872340425
Muslims Against Global Oppression (MAGO)	1	1	27	1	1
Mustafa Aktas Fighting Unit	1	0	0	0	0
Mutahida Majlis-e-Amal	2	0	4	0	0
Muttahida Qami Movement (MQM)	170	229	191	0	0
Mwakenya Dissident Movement	2	4	0	0	0
Naga National Council (NNC)	1	1	0	0	0
Naga People	17	145	41	0	0
Naga People’s Council (NPC)	1	0	0	0	0
Naga Students Federation	2	0	0	0	0
Nahzat e Eslami	1	0	0	1	1
Najib Watan Party Faction	1	0	0	0	0
Namchong-Nyon Students	1	0	1	0	0
Nandi Tribe	4	0	32	0	0
Nara Red Army	1	0	0	0	0
Narco-Terrorists	368	492	811	2	0.00543478260869565
National Accord Movement	1	0	0	0	0
National Alliance (Chad)	3	0	0	0	0
National Anti Communist Commando	3	2	0	0	0
National Anti-Corruption Front (FNA)	1	0	0	1	1
National Army for the Liberation of Uganda (NALU)	1	1	9	0	0
National Awami Party	1	1	0	0	0
National Bolshevik Party (Partiya Natsionalnikh Bolshevikov – PNB)	1	0	0	0	0
National Committee Against Independence (CNCI)	2	0	0	1	0.5
National Committee to Combat Fascism	2	1	3	0	0
National Congress for the Defense of the People (CNDP)	5	0	0	2	0.4
National Council for Defense of Democracy (NCDD)	15	48	89	3	0.2
National Council of Maubere Resistance	1	9	0	0	0
National Defense Youth Corps	1	0	1	0	0
National Democratic Alliance (NDA)	1	0	0	0	0
National Democratic Alliance of Sudan	1	0	1	0	0
National Democratic Front of Bodoland (NDFB)	93	405	392	2	0.021505376344086
National Democratic Front of Liberia	1	0	0	1	1
National Democratic Party	2	3	3	0	0
National Development Party (NDP)	1	0	2	0	0
National Front (Greece)	1	0	80	0	0
National Front Against Tigers (NFAT)	3	0	0	2	0.666666666666667
National Front for the Liberation of Belgium	1	1	6	0	0
National Front for the Liberation of Cuba (FLNC)	22	2	0	17	0.772727272727273
National Front for the Revolution in Burundi (FRONABU-Tabara)	2	0	0	0	0
National Front for the Salvation of Libya	4	17	1	1	0.25
National Front Security Service	1	0	1	0	0
National Independent Committee for Political Prisoners and Persecuted and Missing Persons	2	0	0	2	1
National Integration Front (FIN)	4	0	0	0	0
National League for Democracy	2	2	0	0	0
National Liberation Alliance of Sa Kaeo	1	0	0	0	0
National Liberation Army (Ecuador)	3	0	1	2	0.666666666666667
National Liberation Army (El Salvador)	1	0	0	0	0
National Liberation Army (Nepal)	1	0	1	0	0
National Liberation Army (NLA) (Macedonia)	35	17	15	1	0.0285714285714286
National Liberation Army (Peru)	2	6	13	0	0
National Liberation Army of Colombia (ELN)	1292	1469	1060	102	0.0789473684210526
National Liberation Front (FNL) (Burundi)	26	27	38	2	0.0769230769230769
National Liberation Front of Chad	1	0	0	1	1
National Liberation Front of Tripura (NLFT)	59	254	79	2	0.0338983050847458
National Liberation Movement Party	1	1	0	0	0
National Liberation People's Front (FPLN)	1	0	0	0	0
National Liberation Union	2	0	0	0	0
National Movement Against the Mahgreb Invasion	1	1	12	0	0
National Movement of Iranian Resistance	1	2	0	0	0
National Organization of Cypriot Fighters (EOKA)	6	3	2	2	0.333333333333333
National Patriotic Front of Liberia (NPFL)	16	196	0	4	0.25
National People's Movement Coordination Committee	3	0	6	0	0
National People’s Party (Rashtriya Janata Dal - RJD)	1	0	2	0	0
National Redemption Front	1	0	0	0	0
National Renewal Party	1	0	1	0	0
National Republican Alliance Party	1	6	2	0	0
National Republican Movement for Democracy and Development (MRND)	1	0	1	0	0
National Resistance Movement (NRM)	4	228	0	0	0
National Revolution	3	0	0	0	0
National Revolutionary Command (Umar al-Mukhtar)	3	0	0	3	1
National Revolutionary Front	1	2	2	0	0
National Salvation Forces Organization	1	1	0	0	0
National Socialist Civic Workers Movement	2	21	1	0	0
National Socialist Council of Nagaland	17	146	111	0	0
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)	33	58	30	0	0
National Socialist Council of Nagaland-Khaplang (NSCN-K)	13	8	9	0	0
National Socialist Liberation Front	1	0	0	0	0
National Union for the Total Independence of Angola (UNITA)	431	2625	1880	36	0.0835266821345708
National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)	2	0	1	0	0
National United Front of Democracy Against Dictatorship (UDD)	1	0	1	0	0
National Youth Resistance Organization	1	0	0	1	1
National Youth Service of Zimbabwe	1	0	0	0	0
Nationalist Integrationist Front (FNI)	1	1	3	1	1
Nationalist Intervention Group	3	0	0	0	0
Nationalist Patriotic Alliance (APN)	4	0	0	0	0
nationalist students	1	4	20	0	0
Naxalites	67	409	149	2	0.0298507462686567
Nazi Boerestat Party	1	0	0	0	0
Neo-Fascists	11	8	10	0	0
Neo-Nazi Group	230	46	518	54	0.234782608695652
Nepal Defense Army	5	5	16	0	0
Nepali Congress Party (NC)	1	3	0	0	0
Nestor Paz Zamora Commission (CNPZ)	3	1	1	1	0.333333333333333
New Armenian Resistance	12	2	16	11	0.916666666666667
New caledonian independence supporters	1	0	0	0	0
New Indigenous Army	1	0	0	0	0
New Jewish Defense League	4	0	0	4	1
New Order	2	15	112	0	0
New Order- France	4	0	0	2	0.5
New Partisans Movement	2	0	0	0	0
New Patriotic Party (NPP)	2	1	0	0	0
New People's Army (NPA)	1335	3438	2028	61	0.0456928838951311
New Revolutionary Popular Struggle (NELA)	1	0	0	0	0
New Ugandan Army	1	1	0	1	1
New World Liberation Front (NWLF)	86	1	5	3	0.0348837209302326
New Year's Gang	4	1	4	0	0
Nicaraguan  Revolutionary Armed Force	2	0	0	0	0
Nicaraguan Counter Revolutionaries (group unk)	2	1	0	0	0
Nicaraguan Democratic Anti-Communist Movement	1	0	0	0	0
Nicaraguan Democratic Force (FDN)	895	6662	734	14	0.0156424581005587
Nicaraguan Resistance	231	588	328	6	0.025974025974026
Nicaraguans protesting their government	1	0	0	0	0
Niger Delta Freedom Fighters (NDDF)	1	0	0	0	0
Niger Delta Liberation Force (NDLF)-Nigeria	3	0	0	0	0
Niger Delta People's Volunteer Force (NDPVF)	3	0	0	2	0.666666666666667
Niger Delta Vigilante (NDV)	3	19	0	1	0.333333333333333
Nihilists Faction	2	0	0	1	0.5
Ningo Tribe	1	0	0	0	0
Ninjas	9	94	46	1	0.111111111111111
Ninth of June Organzation	8	0	2	6	0.75
Nobles of Jordan	1	1	0	1	1
Nomadic AFARS	1	0	0	1	1
Nordisk Rikspartiet (Nordic National Party)	1	0	0	0	0
North Korean involvement commandos	1	21	50	1	1
Northern Diriangen Front (FND)	3	0	0	0	0
Northern Epirus Liberation Front (MAVI)	1	0	0	1	1
Northern Terror Front	3	0	0	1	0.333333333333333
November 10 (Bolivia)	1	0	0	1	1
November 17 Revolutionary Organization (N17RO)	112	26	98	43	0.383928571428571
November 21 Organization	5	0	3	0	0
Nuclear Liberation Front	1	0	0	0	0
Nuclei Communist Combattants	1	0	0	1	1
Nucleus of Fighting Communists	1	0	0	0	0
Nucleus of the Armed Struggle	1	0	0	0	0
NVF	4	14	10	0	0
OAS-MRP	6	0	16	0	0
October 11 Group	1	0	0	0	0
October Third Movement	1	0	6	1	1
October-80	3	0	0	0	0
Odua Peoples' Congress (OPC)	2	0	2	0	0
Official Irish Republican Army (OIRA)	40	47	0	12	0.3
Ogaden National Liberation Front (ONLF)	5	134	77	1	0.2
Oglaigh na hEireann	11	1	5	1	0.0909090909090909
Ohabi Islamic Sect	1	1	10	0	0
Okinawa Liberation League	1	0	2	1	1
Omar Bin Khattab Group	1	0	0	1	1
Omar Torrijos Commando for Latin American Dignity	1	0	0	1	1
Omega-7	56	4	16	35	0.625
Opossition 48 hour general strikers	1	0	50	0	0
Opponents of Regime	1	0	0	0	0
Opposition Group	99	15	754	1	0.0101010101010101
Opposition Jatiya Samajtantrik Del Party	1	0	0	0	0
Opposition Militants	6	7	162	0	0
Opposition movement of Colon Province Unemployed	1	1	0	0	0
OPR-33	1	0	0	1	1
Orange Volunteers (OV)	11	0	54	1	0.0909090909090909
Orde Boerevoik	1	0	0	0	0
Organizacion Democratica Nacionalista (ORDEN)	2	9	0	0	0
Organization 544	1	0	0	0	0
Organization Alliance of Cuban Intransigence	1	0	0	0	0
Organization for Purging the Majlis (Parliament)	1	0	21	0	0
Organization for the Defense of Detainees Rights	1	0	0	1	1
Organization for the Liberation of France from Jewish Occupation	1	0	0	0	0
Organization for the oppresed in Egypt's Prisons	1	11	16	0	0
Organization for Zionist Retribution	1	0	3	1	1
Organization of Anti-Fascist Students	1	0	0	0	0
Organization of Arab Fedayeen Cells	1	0	1	1	1
Organization of Avenging Palestinian Youth	1	0	0	1	1
Organization of Mauritanian Nationalists	1	1	0	1	1
Organization of Metropolitan Proletariat and Oppressed Peoples	1	0	0	1	1
Organization of Mujahadin of Islam	1	1	0	0	0
Organization of Soldiers of the Levant	1	2	12	1	1
Organization of the Sons of Occupied Territories	2	0	0	2	1
Organization of Volunteers for the Puerto Rican Revolution	15	1	1	11	0.733333333333333
Organized Comrades for Feminist Counter-Power	3	0	0	1	0.333333333333333
Organized Comrads for Communism	1	1	0	0	0
Organized Crime	2	2	1	0	0
Organized Proletarian Communists	3	0	0	0	0
Orly Organization	9	1	29	3	0.333333333333333
Oromo Liberation Front	9	279	29	0	0
Other	465	1347	2140	72	0.154838709677419
Otpor	4	3	0	1	0.25
P.R.E.	1	0	0	0	0
Pacific Popular Front	1	0	0	1	1
Pacifist and Ecologist Committee	2	0	0	0	0
Pakistan Muslim League (PML)	1	5	0	0	0
Pakistani People's Party (PPP)	7	5	15	0	0
Pakistani trained terrorists	1	12	0	0	0
Palestine Liberation Front (PLF)	8	13	5	1	0.125
Palestine Liberation Organization (PLO)	175	272	308	112	0.64
Palestinian Activists	1	1	0	0	0
Palestinian Forces	1	0	0	1	1
Palestinian Hezbollah	2	2	14	1	0.5
Palestinian Islamic Jihad (PIJ)	165	229	809	43	0.260606060606061
Palestinian Liberation Command	1	0	0	0	0
Palestinian Revolution Forces	6	0	19	1	0.166666666666667
Palestinian Students	1	0	0	1	1
Palestinian support group	1	0	0	1	1
Palestinian-nationalist Lebanese joint movement	1	1	0	1	1
Palestinian/Lebanese nationalists	2	0	0	2	1
Palestinians	1125	526	1636	493	0.438222222222222
Pan Africanist Congress (PAC)	5	6	21	0	0
Pan-Turkish Organization	1	0	0	1	1
Panama Defense Force	3	0	2	0	0
Panthic Committee	1	0	18	0	0
Paraguayan People's Army (EPP)	7	3	11	0	0
Paramilitaries	41	258	78	1	0.024390243902439
Paramilitary members	1	0	1	1	1
Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh	1	0	0	0	0
Pareci Indians	1	2	0	0	0
Partisan Sharpshooters	1	0	0	0	0
Party for Democracy anti-nuclear-test protesters	1	0	0	1	1
Party for the Liberation of the Hutu People (PALIPEHUTU)	39	269	169	0	0
Party of National Conciliation	1	1	0	0	0
Party Unity	1	0	0	0	0
Pataxo Indians	1	0	0	0	0
Pathan Tribal Group	1	0	28	0	0
Patria Nueva (New Country)	3	1	3	0	0
Patria y Libertad (Fatherland and Liberty)	1	0	0	0	0
Patriotic Command San Jose	1	0	0	0	0
Patriotic Liberation Front	5	0	1	0	0
Patriotic Liberation Front (FPL)	1	0	0	0	0
Patriotic Morazanista Front (FPM)	26	10	34	6	0.230769230769231
Patriotic Moroccan Front	1	0	17	0	0
Patriotic Resistance Army (ERP)	1	0	3	0	0
Patriotic Resistance Front in Ituri (FRPI)	1	1	6	1	1
Patriotic Union of Kurdistan (PUK)	7	128	182	2	0.285714285714286
Pattani United Liberation Organization (PULO)	32	34	260	0	0
Paupa New Guinea Troops	1	0	0	1	1
Peace Conquerors	1	0	0	1	1
Peasant Militants	1	37	0	1	1
Peasant protesters	2	1	12	0	0
Peasant Self-Defense Group (ACCU)	24	313	1	1	0.0416666666666667
Peasant Squatters	1	0	15	0	0
Pedro Albizu Campos Revolutionary Forces	7	0	0	7	1
Pedro Leon Arboleda (PLA)	7	0	0	0	0
Pemuda Pancasila	1	0	0	0	0
Pentagon Kidnap Group	1	3	1	0	0
People Against Gangsterism and Drugs (PAGAD)	9	2	55	0	0
People's Alliance	2	0	7	0	0
People's Armed Revolutionary Branch	1	0	0	0	0
People's Army (Myanmar)	6	25	23	0	0
People's Army (Nicaragua)	1	1	0	0	0
People's Command	1	0	0	1	1
People's Committee against Police Atrocities (PCPA)	22	11	8	0	0
People's Democratic Army	4	0	0	0	0
People's Democratic Party (PDP)	2	2	1	0	0
People's Democratic Struggle Movement	1	0	0	1	1
People's Fatherland Movement	8	0	0	1	0.125
People's Guerrilla Front	1	8	0	0	0
People's Guerrilla Movement	1	0	0	0	0
People's Information Group	1	0	0	0	0
People's Liberation Army	1	2	0	0	0
People's Liberation Army (India)	14	45	91	0	0
People's Liberation Army (Mexico)	1	1	0	1	1
People's Liberation Army (Northern Ireland)	1	1	0	0	0
People's Liberation Army (PLA)	4	0	36	0	0
People's Liberation Army (United States)	1	0	0	0	0
People's Liberation Force	1	0	2	0	0
People's Liberation Forces (FPL)	167	124	66	11	0.0658682634730539
People's Liberation Front (JVP)	433	859	979	7	0.0161662817551963
People's Liberation Front of India	16	15	3	0	0
People's Liberation Front of Niger	1	3	0	0	0
People's Liberation Movement	3	0	0	0	0
People's Liberation Organization of Tamil Eelam	4	15	0	0	0
People's Military Organization (OMP)	1	3	0	0	0
People's Militia of Dagestan	2	0	0	0	0
People's National Liberation Movement	1	0	0	0	0
People's Rebellion	1	0	1	1	1
People's Resistance Organized Army	1	2	0	1	1
People's Revolutionary Army (ERP)	10	1	2	1	0.1
People's Revolutionary Army (ERP) (El Salvador)	64	47	33	7	0.109375
People's Revolutionary Command (CRP)	5	0	0	1	0.2
People's Revolutionary Militias (MRP)	4	0	7	1	0.25
People's Revolutionary Organization	14	1	4	3	0.214285714285714
People's Revolutionary Organization- Colombia (ORP)	2	3	0	1	0.5
People's Revolutionary Party (PRP)	1	0	0	1	1
People's Revolutionary Party of Kangleipak (PREPAK)	10	1	11	0	0
People's Revolutionary Union	1	0	0	1	1
People's Revoultionary Party	1	0	0	0	0
People's Sovereignty Party (PDR)	1	0	0	0	0
People's Tamil Organization	2	6	0	0	0
People's Temple	1	5	0	1	1
People's United Democratic Movement (PUDEMO)	1	0	0	0	0
People's United Liberation Front (PULF)	6	5	8	0	0
People's War Group (PWG)	97	410	160	0	0
Peoples' Brigade For A Healthy Genetic Future	1	0	0	0	0
Peronist Armed Forces (FAP)	9	6	0	5	0.555555555555556
Personnel of the National Information Center	1	0	0	0	0
Peruvian Anti-Communist Alliance (AAP)	1	0	0	0	0
Peruvian Rebels	1	2	0	0	0
Pessach Group	2	0	0	1	0.5
Peykar	1	0	0	1	1
Phalange	5	27	1	1	0.2
Phillipine Moslems	1	0	0	1	1
Phineas Priesthood	2	0	0	0	0
Pirates	12	27	16	8	0.666666666666667
Plowshares	1	0	0	1	1
Policarpa Salauarpieta (Women's Command)	1	0	0	0	0
Polisario Front	19	220	10	12	0.631578947368421
Polish	2	0	0	2	1
Polish Revolutionary Home Army	1	0	0	1	1
Polish Skinheads	1	1	2	1	1
Political Activists	13	14	48	0	0
Political Group	13	8	172	0	0
Political Military Organization of Paraguay	1	0	0	1	1
Politico-Military Revolutionary Command	1	0	0	0	0
Poor People's Party	2	0	0	0	0
Popular Anti-Communist Militias	3	3	1	0	0
Popular Army for the Restoration of Democracy (APRD)	1	1	0	1	1
Popular Army Vanguards- Battalions of Return	2	1	0	1	0.5
Popular Democratic Movement (MPD)	1	0	0	0	0
Popular Forces of April 25	47	10	16	16	0.340425531914894
Popular Front for Justice in the Congo	5	1	10	0	0
Popular Front for the Liberation of Palestine (PFLP)	141	136	507	63	0.446808510638298
Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)	6	156	6	3	0.5
Popular Front for the Liberation of the Sahara	1	40	0	0	0
Popular Leberation Front Urban Commando	1	0	3	0	0
Popular Liberation Army (EPL)	258	506	144	12	0.0465116279069767
Popular Liberation Army (Puerto Rico)	4	0	0	4	1
Popular Liberation Resistance Force	6	0	0	0	0
Popular Militia (Chile)	2	0	0	0	0
Popular Militia (Colombia)	15	5	1	0	0
Popular Movement for the Liberation of Angola	9	54	26	0	0
Popular Movement for the Liberation of Cabinda	2	18	18	1	0.5
Popular Rage	4	0	0	1	0.25
Popular Resistance (Laiki Antistasi)	2	0	0	0	0
Popular Resistance Army (PRA)	1	5	2	0	0
Popular Resistance Committees	42	16	55	7	0.166666666666667
Popular Resistance Front (FPR)	1	25	0	0	0
Popular Resistance Sabotage Group	2	0	0	2	1
Popular Revolutionary Action	1	0	0	0	0
Popular Revolutionary Army (Mexico)	21	23	54	0	0
Popular Revolutionary Bloc (BPR)	38	39	10	7	0.184210526315789
Popular Revolutionary Commandos	2	0	0	0	0
Popular Revolutionary Movement (Colombia)	1	0	0	0	0
Popular Revolutionary Movement (Italy)	2	0	0	0	0
Popular Revolutionary Resistance Group	1	0	0	1	1
Popular Revolutionary Vanguard (VPR)	5	2	1	4	0.8
Popular Will (Greece)	3	0	0	1	0.333333333333333
Porattom	1	0	1	0	0
PORE	1	0	0	0	0
Portuguese Anti-Communist Movement	1	2	5	1	1
Portuguese Liberation Army	1	0	0	1	1
Posse Comitatus	1	2	1	0	0
Poverty Brigade	1	0	0	0	0
Praveen Dalam	1	1	0	0	0
Presidential Movement (MP) Militiamen	1	2	0	1	1
Prima Linea	58	16	30	1	0.0172413793103448
Prisoner  Gourgen Yanikian Group	1	0	1	1	1
Prisoner's Action Force	1	0	1	0	0
pro Khomeni group, name unk	1	0	0	0	0
Pro-Aristade	1	0	1	0	0
Pro-Government Students	1	2	5	0	0
Pro-Indonesia Activists	1	1	0	0	0
pro-iranian terrorists	2	0	0	2	1
Pro-Iraqi Terrorists	3	0	0	1	0.333333333333333
Pro-Kabul Provocateurs	3	0	0	0	0
Pro-Khasbulaton Rebels	2	0	0	0	0
Pro-Libyan	1	1	0	1	1
pro-pakistani militants	2	0	1	0	0
Pro-Palestinian Group	4	0	0	3	0.75
Pro-Palestinian Immigrants	2	0	0	0	0
Pro-State Militiamen	1	0	2	0	0
Professional Killers	2	2	0	0	0
Progressive Socialist Party (PSP)	1	2	0	0	0
Proletarian Action Group	2	0	0	1	0.5
Proletarian Armed Squads	1	0	1	0	0
Proletarian Combatants for Communism	2	0	0	0	0
Proletarian communist commandos	1	0	0	0	0
Proletarian Division for the Army of Communist Liberation	1	0	1	0	0
Proletarian Fighting Brigades	1	0	0	0	0
Proletarian Fighting Patrol	7	0	0	0	0
Proletarian Initiative and Offensive for W. Europe	1	0	0	1	1
Proletarian Nuclei for Communism	2	0	0	0	0
Proletarian Nucleus	1	0	0	0	0
Proletarian Patrols	10	1	0	0	0
Proletarian Resistance Movement	1	0	0	1	1
Proletarian Revolutionary Action Front (FRAP)	2	0	2	2	1
Prolitarian Internationalism	1	0	0	1	1
Protectors of Islam Brigade	1	0	0	1	1
Protestant Action Group	5	6	0	0	0
Protestant Extremists	332	345	99	28	0.0843373493975904
Protesters	7	4	5	0	0
Provisional Coordinating Committee for the Defense of Labor	4	0	0	0	0
Provisional RSPCA	1	0	0	0	0
Puerto Rican Armed Resistance	5	1	0	3	0.6
Puerto Rican Liberation Front	2	0	0	0	0
Puerto Rican Nationalists	26	0	3	19	0.730769230769231
Puerto Rican Resistance Movement	3	0	1	0	0
Puerto Rican Revolutionary Movement	5	0	10	0	0
Puka Inti Maoist Communist Party	2	0	1	0	0
Punitive Leftist Front	5	1	0	0	0
Purbo Banglar Communist Party	21	49	52	1	0.0476190476190476
Qaddaffis	8	6	5	8	1
Quartermoon society	2	0	0	0	0
Quebec Separatists	1	0	0	0	0
Quintin Lame	11	41	7	0	0
Rabbi Rahane Group	1	0	0	0	0
Rabid Brothers of Giuliani	1	0	0	0	0
Radical Communist Armed Nucleus	1	0	0	1	1
Radicals	6	0	0	0	0
Rahanwein Resistance Army (RRA)	7	109	121	0	0
Rajneeshees	4	0	778	0	0
Rally of Democratic Forces (RAFD)	1	0	0	1	1
Ramzi Nahra Martyr Organization	1	0	2	0	0
Ranbir Sena	15	95	23	0	0
Rashtriya Swayamsevak Sangh	3	1	7	1	0.333333333333333
Rastas	2	21	23	0	0
Rastriya Janashakti Party (RJP)	1	1	5	0	0
Raul Ernesto Cruz Leon, Salvadorian	3	0	3	0	0
Raul Sendic International Brigade	1	1	0	1	1
Real Irish Republican Army (RIRA)	42	34	490	7	0.166666666666667
Real Ulster Freedom Fighters (UFF) - Northern Ireland	3	0	0	0	0
Rebel Armed Forces of Guatemala (FAR)	36	49	7	6	0.166666666666667
Rebel Military Unit	7	158	17	0	0
Rebel Socialists	1	0	0	0	0
Rebellious Group Lambros Foundas	1	1	2	1	1
Rebels	37	242	91	4	0.108108108108108
Rebels backing deposed Pres. Zviad Gamsakhurdia	1	0	0	0	0
Recompras	7	10	6	1	0.142857142857143
Recontras	61	74	48	8	0.131147540983607
Red Army Faction (RAF)	67	16	62	43	0.641791044776119
Red Army for the Liberation of Catalonia	2	1	10	2	1
Red Brigades	218	65	131	11	0.0504587155963303
Red Brigades Fighting Communist Party (BR-PCC)	7	4	1	1	0.142857142857143
Red Brigades Fighting Communist Union (BR-UCC)	3	2	1	0	0
Red Cell	5	0	16	5	1
Red Commandos	1	1	0	0	0
Red Dawn Front (Frente Amanecer Rojo)	2	0	0	1	0.5
Red Flag	1	1	19	0	0
Red Flag (Venezuela)	25	47	2	2	0.08
Red Flying Squad	3	1	2	0	0
Red Guard	3	0	0	2	0.666666666666667
Red Guerilla Family	5	0	0	1	0.2
Red Guerrilla	7	0	0	6	0.857142857142857
Red Hand Commandos	10	10	1	0	0
Red Hand Defenders (RHD)	23	9	7	1	0.0434782608695652
Red June	1	0	0	1	1
Red June of 14 June	1	0	0	0	0
Red Line	1	0	0	1	1
Red Patriots Group	1	0	0	0	0
Red Resistance Front	1	0	0	1	1
Red Revolutionary Front	2	0	0	0	0
Red Sea Afar Democratic Organization (RSADO)	3	21	30	0	0
Red Tribune	1	0	0	0	0
Reform of the Armed Forces Movement	9	0	1	2	0.222222222222222
Regulators	1	0	0	0	0
Relatives of terrorist	1	0	0	1	1
Republic of New Afrika	2	10	22	0	0
Republic of Texas	1	0	1	0	0
Republican Action Force	6	24	0	0	0
Republican Anticlerical Group	1	0	0	0	0
Republican People's Party	1	1	0	0	0
Resistance Cell	1	0	0	0	0
Resistance Movement	1	0	0	1	1
Resistance Movement of the Union of Revolt Workers	1	0	0	0	0
Resistance, Liberation and Independence Organization (AAA)	1	0	0	1	1
Resistenza	73	0	2	72	0.986301369863014
Resistenza Corsa	4	0	0	4	1
Retired Soldier	1	0	0	0	0
Revenge of the Trees	1	0	0	0	0
Revolted Persons of the Polytech School	1	0	0	0	0
Revolutionary Action	7	0	1	4	0.571428571428571
Revolutionary Action Front	2	0	9	0	0
Revolutionary Action Groups	1	0	0	0	0
Revolutionary Action of Liberation	4	0	0	0	0
Revolutionary Action Organization of the Arab Resistance Front	2	0	2	2	1
Revolutionary Action Party	3	0	0	3	1
Revolutionary Anarchist Armed Terrorist Movement	1	0	2	0	0
Revolutionary Anti-Capitalist Initiative	2	0	0	0	0
Revolutionary Anti-Racist Action	3	0	0	0	0
Revolutionary Arab Youth Organization	1	0	3	1	1
Revolutionary Armed Forces (FAR)	2	31	14	0	0
Revolutionary Armed Forces for the Liberation of Colombia (FALCO)	1	0	0	0	0
Revolutionary Armed Forces of Colombia (FARC)	2045	5240	3414	78	0.0381418092909535
Revolutionary Armed Forces of Nicaragua (FARN)	6	100	3	0	0
Revolutionary Armed Forces- Argentina (FAR-A)	5	2	0	0	0
Revolutionary Armed Organization	3	0	0	0	0
Revolutionary Army	1	0	0	1	1
Revolutionary Autonomous Group	1	0	0	1	1
Revolutionary Bolivariano Movement 200	1	0	1	0	0
Revolutionary Cells	59	1	32	43	0.728813559322034
Revolutionary Cells (Argentina)	2	0	0	0	0
Revolutionary Cells-Animal Liberation Brigade	2	0	0	0	0
Revolutionary Christians of the Cedars	1	44	90	0	0
Revolutionary Combat Brigades	1	0	0	0	0
Revolutionary Command	1	0	0	1	1
Revolutionary Commandos of Solidarity	3	0	0	3	1
Revolutionary Commandos of the People (CRP)	15	2	0	13	0.866666666666667
Revolutionary Committee for Counter Force	1	0	0	0	0
Revolutionary Committee of Mozambique (COREMO)	1	1	0	1	1
Revolutionary Communist Armed Nuclei	1	0	1	0	0
Revolutionary Communist League (LCR) (Spain)	9	0	0	7	0.777777777777778
Revolutionary Communist Party	2	0	0	0	0
Revolutionary Communist Youth Brigade (RCYB)	1	0	0	0	0
Revolutionary Continuity	1	0	0	1	1
Revolutionary Coordination of the Masses	1	0	0	0	0
Revolutionary Eelam Organization (EROS)	2	1	0	1	0.5
Revolutionary Fighting Group 80	1	0	0	1	1
Revolutionary Flames	1	0	0	1	1
Revolutionary Force	1	0	0	1	1
Revolutionary Force 26	2	0	0	0	0
Revolutionary Force 9	3	0	0	0	0
Revolutionary Force Seven	5	0	0	4	0.8
Revolutionary Forces for the Liberation of Iraq	1	0	0	1	1
Revolutionary Front for an Independent East Timor (FRETILIN)	12	113	28	0	0
Revolutionary Front for Hatian Advancement and Progress (FRAPH)	4	39	1	0	0
Revolutionary Front for National Liberation	6	0	1	0	0
Revolutionary Headquarters (Turkey)	1	3	8	0	0
Revolutionary Insurgent Armed Forces of Ecuador (FAIRE)	1	0	0	0	0
Revolutionary Internationalist Solidarity	3	0	0	3	1
Revolutionary Labor Commandos	1	0	0	0	0
Revolutionary Labor Organization	1	0	1	0	0
Revolutionary Leninist Brigades	1	0	0	0	0
Revolutionary Liberation Action (Epanastatiki Apelevtherotiki Drasi) - Greece	3	0	0	0	0
Revolutionary Liberation Cells	1	25	45	0	0
Revolutionary Militant Left organization	1	0	11	0	0
Revolutionary Military Council	1	0	0	0	0
Revolutionary Movement	1	0	0	0	0
Revolutionary Movement of People in Arms	1	1	0	0	0
Revolutionary Nationalist Movement	1	0	1	0	0
Revolutionary Nuclei	12	1	3	6	0.5
Revolutionary Organization of People in Arms (ORPA)	117	287	93	3	0.0256410256410256
